"hour"	"type"	"N"
14	"desktop"	5603
22	"desktop"	5304
7	"desktop"	2134
13	"desktop"	5657
16	"desktop"	5670
4	"desktop"	1726
19	"desktop"	5514
17	"desktop"	5570
0	"desktop"	3316
12	"desktop"	5356
11	"desktop"	5204
21	"desktop"	5788
8	"desktop"	2806
9	"desktop"	3613
1	"desktop"	2753
20	"desktop"	5777
2	"desktop"	2327
10	"desktop"	4743
23	"desktop"	4431
15	"desktop"	5692
18	"desktop"	5255
6	"desktop"	1908
3	"desktop"	2047
5	"desktop"	1806
11	"mobile"	4031
20	"mobile"	7314
18	"mobile"	5494
3	"mobile"	1596
21	"mobile"	7934
10	"mobile"	3735
22	"mobile"	7749
17	"mobile"	4984
12	"mobile"	3990
1	"mobile"	3128
16	"mobile"	4916
19	"mobile"	6290
9	"mobile"	3448
23	"mobile"	6183
13	"mobile"	4505
7	"mobile"	2135
0	"mobile"	4669
15	"mobile"	4615
14	"mobile"	4289
2	"mobile"	2134
5	"mobile"	1204
8	"mobile"	2910
4	"mobile"	1204
6	"mobile"	1543
